Name,City,Income,Credit Score,Loan Amount,Years Employed,Loan Approved,Income to Loan Ratio,Credit Band,Employment Band,Income Band ,Approval Flag,Risk Indicator 
Allison Hill,East Jill,113810,389,39698,27,No,3,Poor,10+ Years,100k+,0,Medium
Brandon Hall,New Jamesside,44592,729,15446,28,No,3,Good,10+ Years,40k–59k,0,Low
Rhonda Smith,Lake Roberto,33278,584,11189,13,No,3,Poor,10+ Years,<40k,0,Medium
Gabrielle Davis,West Melanieview,127196,344,48823,29,No,3,Poor,10+ Years,100k+,0,Medium
Valerie Gray,Mariastad,66048,496,47174,4,No,1,Poor,3–5 Years,60k–79k,0,Medium
Darren Roberts,Port Jesseville,62098,689,19217,29,Yes,3,Fair,10+ Years,60k–79k,1,Medium
Holly Wood,Lake Joseph,59256,373,40920,40,No,1,Poor,10+ Years,40k–59k,0,Medium
Nicholas Martin,Nelsonside,48289,524,45866,20,No,1,Poor,10+ Years,40k–59k,0,Medium
Patty Perez,Port Leslieview,126530,367,14826,36,No,9,Poor,10+ Years,100k+,0,Medium
Emily Rios,Wilkersonmouth,43434,446,18359,8,No,2,Poor,6–10 Years,40k–59k,0,Medium
Justin Baker,Hurstfurt,118696,670,15373,8,Yes,8,Fair,6–10 Years,100k+,1,Medium
Ann Williams,East Courtneychester,127080,365,26216,24,No,5,Poor,10+ Years,100k+,0,Medium
Julie King,Lake Jenniferside,146939,573,43006,21,No,3,Poor,10+ Years,100k+,0,Medium
Jeffrey Chavez,Teresaburgh,101482,819,7973,40,Yes,13,Excellent,10+ Years,100k+,1,Low
Mark Lynch,West Kathryn,41395,843,1037,38,Yes,40,Excellent,10+ Years,40k–59k,1,Low
Alec Hickman,Johnbury,107397,380,6613,31,Yes,16,Poor,10+ Years,100k+,1,Medium
Vanessa Patel,East Donna,85302,469,18370,33,No,5,Poor,10+ Years,80k–99k,0,Medium
Jenny Lewis,Lake Larry,34165,682,29711,33,No,1,Fair,10+ Years,<40k,0,Medium
David Brown,New Angelashire,33905,525,1471,4,No,23,Poor,3–5 Years,<40k,0,Medium
Amy Jones,Port Markhaven,42280,543,19250,31,No,2,Poor,10+ Years,40k–59k,0,Medium
Carlos Walls,Sanchezfort,58657,716,13478,6,Yes,4,Good,6–10 Years,40k–59k,1,Low
Jeffrey Henderson,Shieldston,60495,400,4972,25,No,12,Poor,10+ Years,60k–79k,0,Medium
Rebecca Rodriguez,East Amanda,96237,443,28648,11,No,3,Poor,10+ Years,80k–99k,0,Medium
David Leblanc,Mortonside,108907,400,4315,34,Yes,25,Poor,10+ Years,100k+,1,Medium
Tracy House,East Richard,33478,792,15008,25,Yes,2,Excellent,10+ Years,<40k,1,Low
Carmen Smith,Bakermouth,103563,592,28722,35,Yes,4,Poor,10+ Years,100k+,1,Medium
Katelyn Lee,North Beth,56062,362,21552,3,No,3,Poor,3–5 Years,40k–59k,0,Medium
John Calhoun,North Susan,123850,382,13178,4,No,9,Poor,3–5 Years,100k+,0,Medium
Megan Young,New Johnton,115181,383,28474,37,No,4,Poor,10+ Years,100k+,0,Medium
Emily Green,Johnfurt,121924,434,45019,19,No,3,Poor,10+ Years,100k+,0,Medium
Timothy Walls,South Christineshire,101426,402,5801,34,Yes,17,Poor,10+ Years,100k+,1,Medium
Derek Mahoney,East Mikeburgh,84987,748,36600,19,Yes,2,Good,10+ Years,80k–99k,1,Low
Victoria Valdez,Lake Lisaport,58893,406,9800,16,No,6,Poor,10+ Years,40k–59k,0,Medium
Brian Tran,Juanborough,88878,651,14342,40,Yes,6,Fair,10+ Years,80k–99k,1,Medium
Kathy King,North Cynthiaview,107236,345,1232,21,Yes,87,Poor,10+ Years,100k+,1,Medium
Mandy Green,Arnoldchester,66463,309,8331,4,No,8,Poor,3–5 Years,60k–79k,0,Medium
Melissa Hernandez,Port Mikeside,136093,451,29166,8,No,5,Poor,6–10 Years,100k+,0,Medium
Jacob Fitzpatrick,West Jasonbury,143940,405,24178,35,No,6,Poor,10+ Years,100k+,0,Medium
Jennifer Oliver,East Michelle,30851,481,28020,1,No,1,Poor,0–2 Years,<40k,0,Medium
Tim Patton,Phambury,129458,573,11433,6,No,11,Poor,6–10 Years,100k+,0,Medium
Andrew Ruiz,Port Samantha,135620,658,21000,14,Yes,6,Fair,10+ Years,100k+,1,Medium
Matthew Ross,Michelleview,50926,659,43040,32,No,1,Fair,10+ Years,40k–59k,0,Medium
William Herrera,North Natalieview,121506,482,39049,16,No,3,Poor,10+ Years,100k+,0,Medium
Kyle Reed,Samuelhaven,85392,418,26244,36,No,3,Poor,10+ Years,80k–99k,0,Medium
Andrew Graham,West Ryan,74597,638,41839,20,No,2,Fair,10+ Years,60k–79k,0,Medium
Belinda Mccullough,Elizabethmouth,66421,712,46692,18,Yes,1,Good,10+ Years,60k–79k,1,Medium
Cheryl Ortega,Byrdburgh,50379,608,27612,35,No,2,Fair,10+ Years,40k–59k,0,Medium
Elizabeth Clark,Stevenmouth,58221,518,34500,30,No,2,Poor,10+ Years,40k–59k,0,Medium
Toni Fitzgerald,West Zacharymouth,130072,395,16392,19,No,8,Poor,10+ Years,100k+,0,Medium
Curtis Johnson,South Cheryl,74118,374,30846,26,No,2,Poor,10+ Years,60k–79k,0,Medium
Laura Higgins,Snyderbury,43396,451,43995,0,No,1,Poor,0–2 Years,40k–59k,0,High
Shannon Mcclure,Robinsonhaven,42156,775,4291,35,Yes,10,Excellent,10+ Years,40k–59k,1,Low
Ryan Bryant,Contrerasside,79797,624,30004,39,Yes,3,Fair,10+ Years,60k–79k,1,Medium
Stephanie Simmons,Merrittfort,42676,760,17986,15,Yes,2,Excellent,10+ Years,40k–59k,1,Low
Destiny Strickland,Simsview,77052,750,6077,18,Yes,13,Excellent,10+ Years,60k–79k,1,Low
George Orozco,East Edwardfurt,141082,456,47295,13,No,3,Poor,10+ Years,100k+,0,Medium
Jason Daniels,Brownchester,75082,698,39278,1,No,2,Fair,0–2 Years,60k–79k,0,Medium
Pamela James,West Kennethfurt,109131,729,36272,34,Yes,3,Good,10+ Years,100k+,1,Low
Stephanie Freeman,Ryantown,64671,698,23028,25,Yes,3,Fair,10+ Years,60k–79k,1,Medium
Sara Calhoun,South Brittanytown,135791,385,43123,27,No,3,Poor,10+ Years,100k+,0,Medium
Joel Williams,Murphymouth,35695,634,23118,24,No,2,Fair,10+ Years,<40k,0,Medium
